Name of College,Branch,Category,Exam name,Marks
"R. C. Patel Institute of Technology (RCPIT), Shirpur",Electronics & Telecommunication Engineering,EBC,MHT-CET,78
"R. C. Patel Institute of Technology (RCPIT), Shirpur",Electronics & Telecommunication Engineering,PWD,MHT-CET,71
"R. C. Patel Institute of Technology (RCPIT), Shirpur",Electronics & Telecommunication Engineering,TFWS (Female),MHT-CET,81
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,General,MHT-CET,95.72
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,OBC,MHT-CET,94
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,SC,MHT-CET,90
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,ST,MHT-CET,85
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,EWS,MHT-CET,93
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,TFWS,MHT-CET,88
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,VJ/DT,MHT-CET,89
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,NT(A),MHT-CET,90
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,NT(B),MHT-CET,89.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,NT(C),MHT-CET,88.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,NT(D),MHT-CET,87.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,SBC,MHT-CET,86.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,EBC,MHT-CET,92
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,PWD,MHT-CET,80
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,TFWS (Female),MHT-CET,94
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,TFWS (Male),MHT-CET,89
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,EWS (Female),MHT-CET,92
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,EWS (Male),MHT-CET,87
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Computer Engineering,All India,MHT-CET,95.72
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,General,MHT-CET,84
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,OBC,MHT-CET,82
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,SC,MHT-CET,78
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,ST,MHT-CET,75
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,EWS,MHT-CET,81
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,TFWS,MHT-CET,76
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,VJ/DT,MHT-CET,77
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,NT(A),MHT-CET,78
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,NT(B),MHT-CET,77.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,NT(C),MHT-CET,76.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,NT(D),MHT-CET,75.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,SBC,MHT-CET,74.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,EBC,MHT-CET,80
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,PWD,MHT-CET,72
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,TFWS (Female),MHT-CET,83
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,TFWS (Male),MHT-CET,78
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,EWS (Female),MHT-CET,80
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,EWS (Male),MHT-CET,75
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Mechanical Engineering,All India,MHT-CET,84
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,General,MHT-CET,83
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,OBC,MHT-CET,80
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,SC,MHT-CET,76
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,ST,MHT-CET,73
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,EWS,MHT-CET,79
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,TFWS,MHT-CET,74
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,VJ/DT,MHT-CET,75
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,NT(A),MHT-CET,76
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,NT(B),MHT-CET,75.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,NT(C),MHT-CET,74.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,NT(D),MHT-CET,73.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,SBC,MHT-CET,72.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,EBC,MHT-CET,78
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,PWD,MHT-CET,71
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,TFWS (Female),MHT-CET,82
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,TFWS (Male),MHT-CET,77
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,EWS (Female),MHT-CET,79
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,EWS (Male),MHT-CET,74
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Civil Engineering,All India,MHT-CET,83
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,General,MHT-CET,82
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,OBC,MHT-CET,79
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,SC,MHT-CET,75
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,ST,MHT-CET,72
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,EWS,MHT-CET,78
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,TFWS,MHT-CET,73
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,VJ/DT,MHT-CET,74
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,NT(A),MHT-CET,75
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,NT(B),MHT-CET,74.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,NT(C),MHT-CET,73.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,NT(D),MHT-CET,72.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,SBC,MHT-CET,71.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,EBC,MHT-CET,77
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,PWD,MHT-CET,70
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,TFWS (Female),MHT-CET,80
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,TFWS (Male),MHT-CET,75
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,EWS (Female),MHT-CET,77
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,EWS (Male),MHT-CET,72
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Electronics & Telecommunication Engineering,All India,MHT-CET,82
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,General,MHT-CET,94.24
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,OBC,MHT-CET,92
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,SC,MHT-CET,88
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,ST,MHT-CET,85
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,EWS,MHT-CET,91
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,TFWS,MHT-CET,86
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,VJ/DT,MHT-CET,87
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,NT(A),MHT-CET,88
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,NT(B),MHT-CET,87.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,NT(C),MHT-CET,86.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,NT(D),MHT-CET,85.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,SBC,MHT-CET,84.5
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,EBC,MHT-CET,90
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,PWD,MHT-CET,78
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,TFWS (Female),MHT-CET,93
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,TFWS (Male),MHT-CET,88
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,EWS (Female),MHT-CET,90
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,EWS (Male),MHT-CET,85
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Information Technology,All India,MHT-CET,94.24
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Artificial Intelligence and Data Science,General,MHT-CET,93.75
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Artificial Intelligence and Data Science,OBC,MHT-CET,91
"Rajiv Gandhi Institute of Technology (RGIT), Mumbai",Artificial Intelligence and Data Science,SC,MHT-CET,87
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Computer Engineering,General,MHT-CET,94.75
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Computer Engineering,OBC,MHT-CET,92.53
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Computer Engineering,SC,MHT-CET,88
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Computer Engineering,ST,MHT-CET,85
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Computer Engineering,NT,MHT-CET,89
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electronics & Telecommunication Engineering,General,MHT-CET,86.22
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electronics & Telecommunication Engineering,OBC,MHT-CET,83
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electronics & Telecommunication Engineering,SC,MHT-CET,79
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electronics & Telecommunication Engineering,ST,MHT-CET,75
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electronics & Telecommunication Engineering,NT,MHT-CET,78
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electrical Engineering,General,MHT-CET,85
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electrical Engineering,OBC,MHT-CET,82
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electrical Engineering,SC,MHT-CET,78
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electrical Engineering,ST,MHT-CET,74
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Electrical Engineering,NT,MHT-CET,77
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Mechanical Engineering,General,MHT-CET,84
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Mechanical Engineering,OBC,MHT-CET,81
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Mechanical Engineering,SC,MHT-CET,77
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Mechanical Engineering,ST,MHT-CET,73
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Mechanical Engineering,NT,MHT-CET,76
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Civil Engineering,General,MHT-CET,83
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Civil Engineering,OBC,MHT-CET,80
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Civil Engineering,SC,MHT-CET,76
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Civil Engineering,ST,MHT-CET,72
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",Civil Engineering,NT,MHT-CET,75
"K.J. Somaiya College of Engineering, Mumbai",Computer Engineering,General,MHT-CET,94.75
"K.J. Somaiya College of Engineering, Mumbai",Computer Engineering,OBC,MHT-CET,92.53
"K.J. Somaiya College of Engineering, Mumbai",Computer Engineering,SC,MHT-CET,88
"K.J. Somaiya College of Engineering, Mumbai",Computer Engineering,ST,MHT-CET,85
"K.J. Somaiya College of Engineering, Mumbai",Computer Engineering,NT,MHT-CET,89
"K.J. Somaiya College of Engineering, Mumbai",Electronics & Telecommunication Engineering,General,MHT-CET,86.22
"K.J. Somaiya College of Engineering, Mumbai",Electronics & Telecommunication Engineering,OBC,MHT-CET,83
"K.J. Somaiya College of Engineering, Mumbai",Electronics & Telecommunication Engineering,SC,MHT-CET,79
"K.J. Somaiya College of Engineering, Mumbai",Electronics & Telecommunication Engineering,ST,MHT-CET,75
"K.J. Somaiya College of Engineering, Mumbai",Electronics & Telecommunication Engineering,NT,MHT-CET,78
"K.J. Somaiya College of Engineering, Mumbai",Electrical Engineering,General,MHT-CET,85
"K.J. Somaiya College of Engineering, Mumbai",Electrical Engineering,OBC,MHT-CET,82
"K.J. Somaiya College of Engineering, Mumbai",Electrical Engineering,SC,MHT-CET,78
"K.J. Somaiya College of Engineering, Mumbai",Electrical Engineering,ST,MHT-CET,74
"K.J. Somaiya College of Engineering, Mumbai",Electrical Engineering,NT,MHT-CET,77
"K.J. Somaiya College of Engineering, Mumbai",Mechanical Engineering,General,MHT-CET,84
"K.J. Somaiya College of Engineering, Mumbai",Mechanical Engineering,OBC,MHT-CET,81
"K.J. Somaiya College of Engineering, Mumbai",Mechanical Engineering,SC,MHT-CET,77
"K.J. Somaiya College of Engineering, Mumbai",Mechanical Engineering,ST,MHT-CET,73
"K.J. Somaiya College of Engineering, Mumbai",Mechanical Engineering,NT,MHT-CET,76
"K.J. Somaiya College of Engineering, Mumbai",Civil Engineering,General,MHT-CET,83
"K.J. Somaiya College of Engineering, Mumbai",Civil Engineering,OBC,MHT-CET,80
"K.J. Somaiya College of Engineering, Mumbai",Civil Engineering,SC,MHT-CET,76
"K.J. Somaiya College of Engineering, Mumbai",Civil Engineering,ST,MHT-CET,72
"K.J. Somaiya College of Engineering, Mumbai",Civil Engineering,NT,MHT-CET,75
"Yeshwantrao Chavan College of Engineering, Nagpur",Computer Engineering,General,MHT-CET,94.75
"Yeshwantrao Chavan College of Engineering, Nagpur",Computer Engineering,OBC,MHT-CET,92.53
"Yeshwantrao Chavan College of Engineering, Nagpur",Computer Engineering,SC,MHT-CET,88
"Yeshwantrao Chavan College of Engineering, Nagpur",Computer Engineering,ST,MHT-CET,85
"Yeshwantrao Chavan College of Engineering, Nagpur",Computer Engineering,NT,MHT-CET,89
"Yeshwantrao Chavan College of Engineering, Nagpur",Electronics & Telecommunication Engineering,General,MHT-CET,86.22
"Yeshwantrao Chavan College of Engineering, Nagpur",Electronics & Telecommunication Engineering,OBC,MHT-CET,83
"Yeshwantrao Chavan College of Engineering, Nagpur",Electronics & Telecommunication Engineering,SC,MHT-CET,79
"Yeshwantrao Chavan College of Engineering, Nagpur",Electronics & Telecommunication Engineering,ST,MHT-CET,75
"Yeshwantrao Chavan College of Engineering, Nagpur",Electronics & Telecommunication Engineering,NT,MHT-CET,78
"Yeshwantrao Chavan College of Engineering, Nagpur",Electrical Engineering,General,MHT-CET,85
"Yeshwantrao Chavan College of Engineering, Nagpur",Electrical Engineering,OBC,MHT-CET,82
"Yeshwantrao Chavan College of Engineering, Nagpur",Electrical Engineering,SC,MHT-CET,78
"Yeshwantrao Chavan College of Engineering, Nagpur",Electrical Engineering,ST,MHT-CET,74
"Yeshwantrao Chavan College of Engineering, Nagpur",Electrical Engineering,NT,MHT-CET,77
"Yeshwantrao Chavan College of Engineering, Nagpur",Mechanical Engineering,General,MHT-CET,84
"Yeshwantrao Chavan College of Engineering, Nagpur",Mechanical Engineering,OBC,MHT-CET,81
"Yeshwantrao Chavan College of Engineering, Nagpur",Mechanical Engineering,SC,MHT-CET,77
"Yeshwantrao Chavan College of Engineering, Nagpur",Mechanical Engineering,ST,MHT-CET,73
"Yeshwantrao Chavan College of Engineering, Nagpur",Mechanical Engineering,NT,MHT-CET,76
"Yeshwantrao Chavan College of Engineering, Nagpur",Civil Engineering,General,MHT-CET,83
"Yeshwantrao Chavan College of Engineering, Nagpur",Civil Engineering,OBC,MHT-CET,80
"Yeshwantrao Chavan College of Engineering, Nagpur",Civil Engineering,SC,MHT-CET,76
"Yeshwantrao Chavan College of Engineering, Nagpur",Civil Engineering,ST,MHT-CET,72
"Yeshwantrao Chavan College of Engineering, Nagpur",Civil Engineering,NT,MHT-CET,75
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Computer Engineering,General,MHT-CET,92.99
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Computer Engineering,OBC,MHT-CET,91
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Computer Engineering,SC,MHT-CET,88
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Computer Engineering,ST,MHT-CET,85
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Computer Engineering,NT,MHT-CET,89
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electronics & Telecommunication Engineering,General,MHT-CET,86.22
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electronics & Telecommunication Engineering,OBC,MHT-CET,83
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electronics & Telecommunication Engineering,SC,MHT-CET,79
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electronics & Telecommunication Engineering,ST,MHT-CET,75
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electronics & Telecommunication Engineering,NT,MHT-CET,78
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electrical Engineering,General,MHT-CET,85
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electrical Engineering,OBC,MHT-CET,82
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electrical Engineering,SC,MHT-CET,78
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electrical Engineering,ST,MHT-CET,74
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Electrical Engineering,NT,MHT-CET,77
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Mechanical Engineering,General,MHT-CET,84
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Mechanical Engineering,OBC,MHT-CET,81
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Mechanical Engineering,SC,MHT-CET,77
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Mechanical Engineering,ST,MHT-CET,73
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Mechanical Engineering,NT,MHT-CET,76
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Civil Engineering,General,MHT-CET,83
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Civil Engineering,OBC,MHT-CET,80
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Civil Engineering,SC,MHT-CET,76
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Civil Engineering,ST,MHT-CET,72
"JSPM's Jayawantrao Sawant College of Engineering, Pune",Civil Engineering,NT,MHT-CET,75
"Trinity Academy of Engineering, Pune",Computer Engineering,General,MHT-CET,75.01
"Trinity Academy of Engineering, Pune",Computer Engineering,OBC,MHT-CET,74.68
"Trinity Academy of Engineering, Pune",Computer Engineering,SC,MHT-CET,70
"Trinity Academy of Engineering, Pune",Computer Engineering,ST,MHT-CET,65
"Trinity Academy of Engineering, Pune",Computer Engineering,NT,MHT-CET,68
"Trinity Academy of Engineering, Pune",Information Technology,General,MHT-CET,60.85
"Trinity Academy of Engineering, Pune",Information Technology,OBC,MHT-CET,59
"Trinity Academy of Engineering, Pune",Information Technology,SC,MHT-CET,55
"Trinity Academy of Engineering, Pune",Information Technology,ST,MHT-CET,50
"Trinity Academy of Engineering, Pune",Information Technology,NT,MHT-CET,53
"Trinity Academy of Engineering, Pune",Electronics & Telecommunication Engineering,General,MHT-CET,47.91
"Trinity Academy of Engineering, Pune",Electronics & Telecommunication Engineering,OBC,MHT-CET,45
"Trinity Academy of Engineering, Pune",Electronics & Telecommunication Engineering,SC,MHT-CET,42
"Trinity Academy of Engineering, Pune",Electronics & Telecommunication Engineering,ST,MHT-CET,38
"Trinity Academy of Engineering, Pune",Electronics & Telecommunication Engineering,NT,MHT-CET,40
"Trinity Academy of Engineering, Pune",Civil Engineering,General,MHT-CET,34.58
"Trinity Academy of Engineering, Pune",Civil Engineering,OBC,MHT-CET,32
"Trinity Academy of Engineering, Pune",Civil Engineering,SC,MHT-CET,28
"Trinity Academy of Engineering, Pune",Civil Engineering,ST,MHT-CET,25
"Trinity Academy of Engineering, Pune",Civil Engineering,NT,MHT-CET,26
"Guru Nanak Institute of Engineering and Technology, Nagpur",Computer Science and Engineering,General,MHT-CET,71.72
"Guru Nanak Institute of Engineering and Technology, Nagpur",Computer Science and Engineering,OBC,MHT-CET,70
"Guru Nanak Institute of Engineering and Technology, Nagpur",Computer Science and Engineering,SC,MHT-CET,65.94
"Guru Nanak Institute of Engineering and Technology, Nagpur",Computer Science and Engineering,ST,MHT-CET,63.7
"Guru Nanak Institute of Engineering and Technology, Nagpur",Computer Science and Engineering,NT,MHT-CET,63.7
"Guru Nanak Institute of Engineering and Technology, Nagpur",Artificial Intelligence,General,MHT-CET,62.84
"Guru Nanak Institute of Engineering and Technology, Nagpur",Artificial Intelligence,OBC,MHT-CET,56.01
"Guru Nanak Institute of Engineering and Technology, Nagpur",Artificial Intelligence,SC,MHT-CET,54.39
"Guru Nanak Institute of Engineering and Technology, Nagpur",Artificial Intelligence,ST,MHT-CET,54.39
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electronics & Telecommunication Engineering,General,MHT-CET,44.37
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electronics & Telecommunication Engineering,OBC,MHT-CET,23.99
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electronics & Telecommunication Engineering,SC,MHT-CET,38.88
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electronics & Telecommunication Engineering,ST,MHT-CET,38.88
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electronics & Telecommunication Engineering,NT,MHT-CET,38.88
"Guru Nanak Institute of Engineering and Technology, Nagpur",Data Science,General,MHT-CET,43.96
"Guru Nanak Institute of Engineering and Technology, Nagpur",Data Science,OBC,MHT-CET,40.28
"Guru Nanak Institute of Engineering and Technology, Nagpur",Data Science,SC,MHT-CET,40.28
"Guru Nanak Institute of Engineering and Technology, Nagpur",Data Science,ST,MHT-CET,55.36
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electrical Engineering,General,MHT-CET,22.41
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electrical Engineering,OBC,MHT-CET,1.82
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electrical Engineering,SC,MHT-CET,1.82
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electrical Engineering,ST,MHT-CET,1.82
"Guru Nanak Institute of Engineering and Technology, Nagpur",Electrical Engineering,NT,MHT-CET,1.82
"Sandip Institute of Engineering and Management, Nashik",Computer Engineering,General,MHT-CET,77.17
"Sandip Institute of Engineering and Management, Nashik",Computer Engineering,OBC,MHT-CET,76.48
"Sandip Institute of Engineering and Management, Nashik",Computer Engineering,SC,MHT-CET,72.82
"Sandip Institute of Engineering and Management, Nashik",Computer Engineering,ST,MHT-CET,68.72
"Sandip Institute of Engineering and Management, Nashik",Computer Engineering,NT,MHT-CET,72.32
"Sandip Institute of Engineering and Management, Nashik",Electronics & Telecommunication Engineering,General,MHT-CET,68.29
"Sandip Institute of Engineering and Management, Nashik",Electronics & Telecommunication Engineering,OBC,MHT-CET,65.88
"Sandip Institute of Engineering and Management, Nashik",Electronics & Telecommunication Engineering,SC,MHT-CET,62.79
"Sandip Institute of Engineering and Management, Nashik",Electronics & Telecommunication Engineering,ST,MHT-CET,57.2
"Sandip Institute of Engineering and Management, Nashik",Electronics & Telecommunication Engineering,NT,MHT-CET,65.88
"Sandip Institute of Engineering and Management, Nashik",Mechanical Engineering,General,MHT-CET,66.48
"Sandip Institute of Engineering and Management, Nashik",Mechanical Engineering,OBC,MHT-CET,61.64
"Sandip Institute of Engineering and Management, Nashik",Mechanical Engineering,SC,MHT-CET,47.98
"Sandip Institute of Engineering and Management, Nashik",Mechanical Engineering,ST,MHT-CET,46.28
"Sandip Institute of Engineering and Management, Nashik",Mechanical Engineering,NT,MHT-CET,53.77
"Sandip Institute of Engineering and Management, Nashik",Electrical Engineering,General,MHT-CET,57.05
"Sandip Institute of Engineering and Management, Nashik",Electrical Engineering,OBC,MHT-CET,63.23
"Sandip Institute of Engineering and Management, Nashik",Electrical Engineering,SC,MHT-CET,45.58
"Sandip Institute of Engineering and Management, Nashik",Electrical Engineering,ST,MHT-CET,38.03
"Sandip Institute of Engineering and Management, Nashik",Electrical Engineering,NT,MHT-CET,50.04
"Sandip Institute of Engineering and Management, Nashik",Civil Engineering,General,MHT-CET,48.61
"Sandip Institute of Engineering and Management, Nashik",Civil Engineering,OBC,MHT-CET,46.37
"Sandip Institute of Engineering and Management, Nashik",Civil Engineering,SC,MHT-CET,42.22
"Sandip Institute of Engineering and Management, Nashik",Civil Engineering,ST,MHT-CET,25.59
"Sandip Institute of Engineering and Management, Nashik",Civil Engineering,NT,MHT-CET,38.54
"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",Computer Engineering,General,MHT-CET,83.85
"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",Computer Engineering,OBC,MHT-CET,80.59
"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",Computer Engineering,SC,MHT-CET,75.22
"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",Computer Engineering,ST,MHT-CET,69.27
"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",Computer Engineering,NT,MHT-CET,75.01
"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",Computer Engineering,TFWS,MHT-CET,87.5
"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",Computer Engineering,DEF,MHT-CET,63.54
"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",Computer Engineering,PWD,MHT-CET,81.29
